Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPV;CPV Tipo ;CPV Designação;CPV Valor;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE;Medidas especiais;Regime;Critérios Materiais;CCP;groupMembers
"Remodelação da praia das Palmeiras, manutenção da praia dos Reis Magos e frente mar de Santa Cruz";Concurso público;Empreitadas de obras públicas;45259000-7;Principal;Reparação e manutenção de instalações;138440.2 € ;Município de Santa Cruz (511244681);"SCTM - Sociedade Construções Técnicas da Madeira, Lda (511260822)";"138.440,20 €";06-04-2026;27-03-2026;90 dias;Portugal;"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA1NzEwMw;false;;;"Código dos Contratos Públicos (DL 111-B/2017) e Lei n.º 30/2021, de 21.05 e DLR nº 34/2008/M, de 14.08 (DLR n.º 6/2018/M)";false;false;
Empreitada de Reabilitação de Fogos Devolutos no Funchal;Concurso público;Empreitadas de obras públicas;45453100-8;Principal;Obras de recuperação;275000.0 € ;"IHM - Investimentos Habitacionais da Madeira, EPERAM (511035365)";"Sales, Faria & Andrade- Sociedade de Construções Ldª (511031181)";"275.000,00 €";06-04-2026;02-03-2026;240 dias;Portugal;"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/OTg4OTUz;false;;;"Código dos Contratos Públicos (DL 111-B/2017) e Lei n.º 30/2021, de 21.05 e DLR nº 34/2008/M, de 14.08 (DLR n.º 6/2018/M)";false;false;
"Concurso Público com publicidade no Jornal Oficial da União Europeia (JOUE) para aquisição de licenciamento de software Microsoft e serviços conexos para o Instituto para os Comportamentos Aditivos e as Dependências (ICAD, I.P.).";Concurso público;Aquisição de bens móveis;48200000-0;Principal;"Pacote de software para ligações em rede, Internet e intranet";338257.16 € ;"Instituto para os Comportamentos Aditivos e as Dependências, IP (517839539)";"Claranet II Solutions, SA (510728189)";"338.257,16 €";06-04-2026;25-03-2026;275 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;true;https://community.vortal.biz/Public/public-tender-documents/NHQzd0pnTDAwVFdMYzZJWCtramE5NXIwd3g4Tit6aTkxWFgxMDBVUmhsN0ZXaEc3MGtmNUlZODZLYXBVcHd3aThmcU1WZVRvKzBVNERSVXB4bEFKbXc9PSMzKkhf;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Serviços análise de dados para manutenção evolutiva/corretiva da solução de Business Intelligence do SNS 24;Concurso público;Aquisição de serviços;72500000-0;Principal;Serviços relacionados com a informática;283966.4 € ;"Serviços Partilhados do Ministério da Saúde, EPE (509540716)";"Integer Consulting, S.A. (507969332)";"283.966,40 €";06-04-2026;30-03-2026;578 dias;Portugal<BR/>Portugal;"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/Rzloby94ZnhwY0Zra3U5S0RBajNsZlZiNVFwak8zY056OG9acXlRYXozR1l2U09rVE42cDRjN3BjWk01MUg4dS9FekRPNzVrdm53ejhXZW5tYkRVSmc9PWhpOCRh;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Serviços de técnico de suporte IT, para o suporte interno da SPMS, EPE";Concurso público;Aquisição de serviços;72500000-0;Principal;Serviços relacionados com a informática;489828.77 € ;"Serviços Partilhados do Ministério da Saúde, EPE (509540716)";"IDW - CONSULTORIA EM SERVIÇOS DE INFORMAÇÃO, LDA  (504243926)";"489.828,77 €";06-04-2026;30-03-2026;975 dias;Portugal<BR/>Portugal;"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/ZWdvZkxFQTUzTm9zbWx6cmNmUWdDRnZLVDU3cFRSNGZqeEFDbll3K1lXT05aQS9Zd3ZLNzVCbzI3eUhoOTcrU2lVNDgvMEVGZ004b2psVEFkejhBRVE9PXN2UHpu;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Empreitada de consolidação estrutural das encostas sobranceiras à Rua Dr.º João Serra Velez Caroço;Concurso público;Empreitadas de obras públicas;45243510-0;Principal;Construção de taludes;1276000.0 € ;Câmara Municipal do Funchal (511217315);"Tecnovia Madeira, Sociedade de Empreitadas SA (511099177)";"1.276.000,00 €";06-04-2026;30-03-2026;540 dias;"Portugal, Região Autónoma da Madeira, Funchal";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA1MjA4MA;false;;;"Código dos Contratos Públicos (DL 111-B/2017) e Lei n.º 30/2021, de 21.05 e DLR nº 34/2008/M, de 14.08 (DLR n.º 6/2018/M)";false;false;
"CP/1394/2025- Serviço de viagens, transporte aéreo, ferroviário e rodoviário e alojamento ";Concurso público;Aquisição de serviços;63000000-9;Principal;"Serviços anexos e auxiliares dos transportes; serviços de agências de viagens";46024.0 € ;Gabinete do Secretário de Estado do Ambiente (600084655);"Motionmiles - Viagens e Turismo Unipessoal, Lda (518196852)";"46.024,00 €";06-04-2026;25-03-2026;365 dias;Portugal;"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;true;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTAwMjMxNA;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
CONTRATAÇÃO DA LOCAÇÃO DE EQUIPAMENTOS SANITÁRIOS PARA APOIO A EVENTOS;Concurso público;Locação de bens móveis;24955000-3;Principal;Instalações sanitárias químicas;57470.0 € ;Município de Loulé (502098139);"WCLOC Portugal, Lda. (510029116)";"57.470,00 €";06-04-2026;16-03-2026;1021 dias;"Portugal, Faro, Loulé";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/VGxaS0lta2w2c0daMit4dzk3SEJSSmZvVjR5UVZqUXhNc3FNcExWVms5NUJYNWt3bG5qYlVEN3pFWnZURnhKZ3lHSVRZQSt1UW9MTHhKaFhxUmkyS3c9PVR0Uygw;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Serviços de Seguros de Acidentes de Trabalhos, para a SPMS, E.P.E ";Concurso público;Aquisição de serviços;66510000-8;Principal;Serviços de seguros;138231.49 € ;"Serviços Partilhados do Ministério da Saúde, EPE (509540716)";"Willis - Corretores de Seguros, S.A. (500188629)";"138.231,49 €";06-04-2026;30-03-2026;1095 dias;Portugal;"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/azBzZDZZcVBpdTJkTFovZ3BwMkVJdlBHNG1NL2FEUU5JMnIyeGwvenpFaFdoYjFLOVNEbno5NGdYM04xSGs3dWMxc3lVRVEwZ2piZDNnVW9OZ2FLZHc9PUhHS2N0;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Empreitada de ampliação e remodelação da rede geral de abastecimento de água 2026/2027;Concurso público;Empreitadas de obras públicas;45232150-8;Principal;Obras relacionadas com condutas para abastecimento de água;87840.0 € ;MUNICÍPIO DE ALBUFEIRA (503539473);Paulo Jorge Carreira Bento;"87.840,00 €";06-04-2026;30-03-2026;487 dias;"Portugal, Faro, Albufeira";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/dEVWemlMWThhTUxLT2VtWnV3OVMzYm9zNytDcHlLWVQrOVBpTUpuZm93bXRNd1IxOG9pN01VRFlZUWptdWh4MXlTdDIwdEU2MzI4NzU5TkdPZjRueGc9PV5MQk44;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Serviços de suporte transversal para a Unidade de Coordenação de Sistemas de Gestão de Recursos (USGR);Concurso público;Aquisição de serviços;72500000-0;Principal;Serviços relacionados com a informática;73543.68 € ;"Serviços Partilhados do Ministério da Saúde, EPE (509540716)";Winning Lda (510098711);"73.543,68 €";06-04-2026;30-03-2026;269 dias;Portugal<BR/>Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/S2YxbmNyanViV0d0RFgrZzB3cnV0UWp0dEllK1VpNWdySEdwaDJwSlJvdFpJWmpFNzA5cHBMY2VWWDJSWEk1TEFpM29QYXkxVVVIUjVvOHkxcE5lZUE9PU1jOGRZ;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
REABILITAÇÃO DE CAMPO DESPORTIVO;Concurso público;Empreitadas de obras públicas;45236119-7;Principal;Obras de reparação de campos desportivos;270000.0 € ;Município de Vale de Cambra (506735524);"Playpiso, infraestruturas e equipamentos desportivos, S.A. (505364581)";"270.000,00 €";06-04-2026;19-03-2026;180 dias;"Portugal, Aveiro, Vale de Cambra";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/ZU9vWXpnV1RNemw2SnI0bzhFY1BTU3ZtbUQvWEUvQkV1ZHhGRklCMVYrK1F0WDdZMDBYQVZUcHc3TWpSYjkyV3phRzZsdFBUK3dVak5sbEc3cExEZ2c9PXUyeEdO;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Serviços para Avaliação EMRAM e INFRAM nas Unidades De Saúde do SNS- Pilar 3 - Reforma dos SI Disponibilizados ao Profissional (PRR) - Lote 2- Serviço local – Zona 1;Concurso público;Aquisição de serviços;72500000-0;Principal;Serviços relacionados com a informática;282730.0 € ;"Serviços Partilhados do Ministério da Saúde, EPE (509540716)";Winning Lda (510098711);"282.730,00 €";06-04-2026;30-03-2026;85 dias;"Portugal, Lisboa, Lisboa<BR/>Portugal";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/TEFuZ1NJbG9zL2lPNEQ3cVdadWs0TENQaW5haUh3UTlaV3FFeGcvS2s0bVg5Q1I2Wi8rZ1Z3QTZ2RTU0K1l2aExXRDNlem9CMklZNXJtMGJQYTJNTkE9PVBGd3oo;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Serviços de ativação de sistema de cuidados de saúde nas unidades locais de saúde e/ou outras instituições (PRR);Concurso público;Aquisição de serviços;72500000-0;Principal;Serviços relacionados com a informática;744859.0 € ;"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)";"Timestamp - Sistemas de Informação, S.A. (506360237)";"744.859,00 €";06-04-2026;30-03-2026;60 dias;Portugal<BR/>Portugal;"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/a0VVWnVEdkgyWW1FcmJwTW1FMlFzRG8wVjF0UjFjSXNFME55U1B2NmlTY3NRbGN6V2sxcEpDckhSZWxIRlg5TUdtTmlaOVFMKzZMaXRGdTJaSU9YREE9PU9zcyZs;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Aquisição de Serviços ""Ask Me""";Concurso público;Aquisição de serviços;79620000-6;Principal;"Serviços de fornecimento de pessoal, inclusive temporário";432000.0 € ;"Parques de Sintra - Monte da Lua, SA (505174839)";"FLEXIBLE DETAILS, LDA (518244954)";"432.000,00 €";06-04-2026;31-03-2026;1096 dias;"Portugal, Lisboa, Sintra";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/OGhXNGdFWnJwc0lWSk55YkpyK2lDV1pPQlVHMURjOVNGRCtoMkdLOFQ0WVpSUDBmZUg0NHptOUFIdEJCUGpFVkFOOUhHUFhMa0IyMThXVTE2emNwU0E9PURPK0Rl;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Fornecimento contínuo de sinalização de trânsito ;Concurso público;Aquisição de bens móveis;34928470-3;Principal;Sinalização;53804.45 € ;Município de Chaves (501205551);"Bricantel - Comércio de Mat. Electrico de Bragança, S.A. (502888539)";"53.804,45 €";06-04-2026;31-03-2026;365 dias;"Portugal, Vila Real, Chaves";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/eWx1UWJtb2t5cUJYRXREb0FrdmV5RVY3bDFVNnBFK09MZWJiYW9aYXN2cnZsRXZDRGVlS09iejRqKy9ZdDNGemtnTC9HREJNS1JBVEh1cDZCQVVwcUE9PVFxQzJj;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de serviços de Encarregado de Proteção de Dados (EPD) para as Unidades Orgânicas da Universidade de Lisboa (ULisboa);Concurso público;Aquisição de serviços;79000000-4;Principal;"Serviços a empresas: direito, comercialização, consultoria, recrutamento, impressão e segurança";4068.0 € ;Instituto Superior de Ciências Sociais e Políticas (600019152);PricewterhouseCoopers Legal - SOCIEDADE DE ADVOGADOS SP RL (514641380);"4.068,00 €";06-04-2026;30-03-2026;365 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;true;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTAwNDUzMg;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Arruamentos em Loulé – Melhoria de acessibilidades na Rua Dra. Laura Ayres;Concurso público;Empreitadas de obras públicas;45233262-3;Principal;Construção de zona pedonal;46800.07 € ;Município de Loulé (502098139);"Relvas, Nunes & Luz, Lda (500401489)";"46.800,07 €";06-04-2026;11-12-2025;90 dias;"Portugal, Faro, Loulé";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/c29JcnlKYkwzOHJGcVdBQWFUSGR6K0xiYWsvaUtJdzhYYnhvallyeStITEVuaU5pNzhGbk1UU3JaOCs4Vll2OHViQmNsYklLTit0ZHF6K1dGK2lJZ3c9PUFlaiF6;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de Material para UCI;Concurso público;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;6000.0 € ;"Unidade Local de Saúde do Algarve, EPE (510745997)";"MEDTRONIC PORTUGAL, UNIPESSOAL,  LDA. (504223933)";"6.000,00 €";06-04-2026;04-03-2026;365 dias;"Portugal, Faro, Portimão<BR/>Portugal, Faro, Faro";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/UXBBNFlJY1pKWGtJMGthTVV6ZHloM01md0lNR1VNR2gxdlVQZ1IwcEYxQUNkdmhsZzhsRDF2Q25GaGdmMTVvNEpxL0R0Y2tFSEpUNVlvU2Y3RmhJYXc9PUlZamcy;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de Material para UCI;Concurso público;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;5446.8 € ;"Unidade Local de Saúde do Algarve, EPE (510745997)";"VYGON (Portugal), Lda (503232785)";"5.446,80 €";06-04-2026;04-03-2026;365 dias;"Portugal, Faro, Faro<BR/>Portugal, Faro, Portimão";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/UXBBNFlJY1pKWGtJMGthTVV6ZHloM01md0lNR1VNR2gxdlVQZ1IwcEYxQUNkdmhsZzhsRDF2Q25GaGdmMTVvNEpxL0R0Y2tFSEpUNVlvU2Y3RmhJYXc9PUlZamcy;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
